type,juri,role,situation,sop,filename
THREATS,RM,call taker,Threats over the Internet.,"['Create a call.', 'Enter in remarks: “Internet Threat”', 'Questions:', 'What is the nature of the threat?', 'How many threats have been received?', 'Is the suspect known?']",RM - THREATS.docx
THREATS,RM,dispatcher,Cellphone threats with no suspect,['Assign a member'],RM - THREATS.docx
THREATS,RM,dispatcher,General Procedure,['Assign a member.'],RM - THREATS.docx
THREATS,RM,dispatcher,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member.']",RM - THREATS.docx
THREATS,RM,dispatcher,Offence within your jurisdiction caller from outside jurisdiction,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member']",RM - THREATS.docx
THREATS,RM,dispatcher,Telephone threats with no suspect,['Assign a member.'],RM - THREATS.docx
THREATS,RM,dispatcher,Threats over the Internet.,['Assign a member'],RM - THREATS.docx
THREATS,SC,call taker,Cellphone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller contact their cell provider on how to proceed with a call trace (each provider is different)', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",SC - THREATS.docx
THREATS,SC,call taker,General Procedure,"['Create a call.', 'Include the full details of the threat.', 'Determine the risk to the complainant. Prioritize accordingly.', 'Questions:', 'What is the victim’s current location?', 'Is this the location where the threats were received?', 'What is the nature of the threat?', 'Is the suspect known?']",SC - THREATS.docx
THREATS,SC,call taker,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Create a call.', 'Ensure the safety of the complainant']",SC - THREATS.docx
THREATS,SC,call taker,Offence within your jurisdiction caller from outside jurisdiction,"['Create a call.', 'Ensure the safety of the complainant']",SC - THREATS.docx
THREATS,SC,call taker,Telephone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller activate Call Trace (*57) when the threatening call was received?  If no,  advise the caller to do so if further calls are received.', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",SC - THREATS.docx
THREATS,SC,call taker,Threats over the Internet.,"['Create a call.', 'Enter in remarks: “Internet Threat”', 'Questions:', 'What is the nature of the threat?', 'How many threats have been received?', 'Is the suspect known?']",SC - THREATS.docx
THREATS,SC,dispatcher,Cellphone threats with no suspect,['Assign a member'],SC - THREATS.docx
THREATS,SC,dispatcher,General Procedure,['Assign a member.'],SC - THREATS.docx
THREATS,SC,dispatcher,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member.']",SC - THREATS.docx
THREATS,SC,dispatcher,Offence within your jurisdiction caller from outside jurisdiction,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member']",SC - THREATS.docx
THREATS,SC,dispatcher,Telephone threats with no suspect,['Assign a member.'],SC - THREATS.docx
THREATS,SC,dispatcher,Threats over the Internet.,['Assign a member'],SC - THREATS.docx
THREATS,SQ,call taker,Cellphone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller contact their cell provider on how to proceed with a call trace (each provider is different)', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",SQ - THREATS.docx
THREATS,SQ,call taker,General Procedure,"['Create a call.', 'Include the full details of the threat.', 'Determine the risk to the complainant. Prioritize accordingly.', 'Questions:', 'What is the victim’s current location?', 'Is this the location where the threats were received?', 'What is the nature of the threat?', 'Is the suspect known?']",SQ - THREATS.docx
THREATS,SQ,call taker,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Create a call.', 'Ensure the safety of the complainant']",SQ - THREATS.docx
THREATS,SQ,call taker,Offence within your jurisdiction caller from outside jurisdiction,"['Create a call.', 'Ensure the safety of the complainant']",SQ - THREATS.docx
THREATS,SQ,call taker,Telephone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller activate Call Trace (*57) when the threatening call was received?  If no,  advise the caller to do so if further calls are received.', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",SQ - THREATS.docx
THREATS,SQ,call taker,Threats over the Internet.,"['Create a call.', 'Enter in remarks: “Internet Threat”', 'Questions:', 'What is the nature of the threat?', 'How many threats have been received?', 'Is the suspect known?']",SQ - THREATS.docx
THREATS,SQ,dispatcher,Cellphone threats with no suspect,['Assign a member'],SQ - THREATS.docx
THREATS,SQ,dispatcher,General Procedure,['Assign a member.'],SQ - THREATS.docx
THREATS,SQ,dispatcher,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member.']",SQ - THREATS.docx
THREATS,SQ,dispatcher,Offence within your jurisdiction caller from outside jurisdiction,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member']",SQ - THREATS.docx
THREATS,SQ,dispatcher,Telephone threats with no suspect,['Assign a member.'],SQ - THREATS.docx
THREATS,SQ,dispatcher,Threats over the Internet.,['Assign a member'],SQ - THREATS.docx
THREATS,SX,call taker,Cellphone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller contact their cell provider on how to proceed with a call trace (each provider is different)', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",SX - THREATS.docx
THREATS,SX,call taker,General Procedure,"['Create a call.', 'Include the full details of the threat.', 'Determine the risk to the complainant. Prioritize accordingly.', 'Questions:', 'What is the victim’s current location?', 'Is this the location where the threats were received?', 'What is the nature of the threat?', 'Is the suspect known?']",SX - THREATS.docx
THREATS,SX,call taker,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Create a call.', 'Ensure the safety of the complainant']",SX - THREATS.docx
THREATS,SX,call taker,Offence within your jurisdiction caller from outside jurisdiction,"['Create a call.', 'Ensure the safety of the complainant']",SX - THREATS.docx
THREATS,SX,call taker,Telephone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller activate Call Trace (*57) when the threatening call was received?  If no,  advise the caller to do so if further calls are received.', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",SX - THREATS.docx
THREATS,SX,call taker,Threats over the Internet.,"['Create a call.', 'Enter in remarks: “Internet Threat”', 'Questions:', 'What is the nature of the threat?', 'How many threats have been received?', 'Is the suspect known?']",SX - THREATS.docx
THREATS,SX,dispatcher,Cellphone threats with no suspect,['Assign a member'],SX - THREATS.docx
THREATS,SX,dispatcher,General Procedure,['Assign a member.'],SX - THREATS.docx
THREATS,SX,dispatcher,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member.']",SX - THREATS.docx
THREATS,SX,dispatcher,Offence within your jurisdiction caller from outside jurisdiction,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member']",SX - THREATS.docx
THREATS,SX,dispatcher,Telephone threats with no suspect,['Assign a member.'],SX - THREATS.docx
THREATS,SX,dispatcher,Threats over the Internet.,['Assign a member'],SX - THREATS.docx
THREATS,UN,call taker,Cellphone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller contact their cell provider on how to proceed with a call trace (each provider is different)', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",UN - THREATS.docx
THREATS,UN,call taker,General Procedure,"['Create a call.', 'Include the full details of the threat.', 'Determine the risk to the complainant. Prioritize accordingly.', 'Questions:', 'What is the victim’s current location?', 'Is this the location where the threats were received?', 'What is the nature of the threat?', 'Is the suspect known?']",UN - THREATS.docx
THREATS,UN,call taker,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Create a call.', 'Ensure the safety of the complainant']",UN - THREATS.docx
THREATS,UN,call taker,Offence within your jurisdiction caller from outside jurisdiction,"['Create a call.', 'Ensure the safety of the complainant']",UN - THREATS.docx
THREATS,UN,call taker,Telephone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller activate Call Trace (*57) when the threatening call was received?  If no,  advise the caller to do so if further calls are received.', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",UN - THREATS.docx
THREATS,UN,call taker,Threats over the Internet.,"['Create a call.', 'Enter in remarks: “Internet Threat”', 'Questions:', 'What is the nature of the threat?', 'How many threats have been received?', 'Is the suspect known?']",UN - THREATS.docx
THREATS,UN,dispatcher,Cellphone threats with no suspect,['Assign a member'],UN - THREATS.docx
THREATS,UN,dispatcher,General Procedure,['Assign a member.'],UN - THREATS.docx
THREATS,UN,dispatcher,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member.']",UN - THREATS.docx
THREATS,UN,dispatcher,Offence within your jurisdiction caller from outside jurisdiction,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member']",UN - THREATS.docx
THREATS,UN,dispatcher,Telephone threats with no suspect,['Assign a member.'],UN - THREATS.docx
THREATS,UN,dispatcher,Threats over the Internet.,['Assign a member'],UN - THREATS.docx
THREATS,VA,call taker,Cellphone threats with no suspect,['Create a call.'],VA - THREATS.docx
THREATS,VA,call taker,General Procedure,"['Create a call.', 'Include the full details of the threat.', 'Determine the risk to the complainant. Prioritize accordingly.', 'Questions:', 'What is the victim’s current location?', 'Is this the location where the threats were received?', 'What is the nature of the threat?', 'Is the suspect known?']",VA - THREATS.docx
THREATS,VA,call taker,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Create a call.', 'Ensure the safety of the complainant']",VA - THREATS.docx
THREATS,VA,call taker,Offence within your jurisdiction caller from outside jurisdiction,"['Create a call.', 'Ensure the safety of the complainant']",VA - THREATS.docx
THREATS,VA,call taker,Telephone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller activate Call Trace (*57) when the threatening call was received?  If no, advise the caller to do so if further calls are received.', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",VA - THREATS.docx
THREATS,VA,call taker,Threats over the Internet.,"['Create a call.', 'Enter in remarks: “Internet Threat”', 'Questions:', 'What is the nature of the threat?', 'How many threats have been received?', 'Is the suspect known?']",VA - THREATS.docx
THREATS,VA,dispatcher,Cellphone threats with no suspect,['Assign a member'],VA - THREATS.docx
THREATS,VA,dispatcher,General Procedure,['Assign a member.'],VA - THREATS.docx
THREATS,VA,dispatcher,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member.']",VA - THREATS.docx
THREATS,VA,dispatcher,Offence within your jurisdiction caller from outside jurisdiction,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member']",VA - THREATS.docx
THREATS,VA,dispatcher,Telephone threats with no suspect,['Assign a member.'],VA - THREATS.docx
THREATS,VA,dispatcher,Threats over the Internet.,['Assign a member'],VA - THREATS.docx
THREATS,WP,call taker,Cellphone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller contact their cell provider on how to proceed with a call trace (each provider is different)', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",WP - THREATS.docx
THREATS,WP,call taker,General Procedure,"['Create a call.', 'Include the full details of the threat.', 'Determine the risk to the complainant. Prioritize accordingly.', 'Questions:', 'What is the victim’s current location?', 'Is this the location where the threats were received?', 'What is the nature of the threat?', 'Is the suspect known?']",WP - THREATS.docx
THREATS,WP,call taker,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Create a call.', 'Ensure the safety of the complainant']",WP - THREATS.docx
THREATS,WP,call taker,Offence within your jurisdiction caller from outside jurisdiction,"['Create a call.', 'Ensure the safety of the complainant']",WP - THREATS.docx
THREATS,WP,call taker,Telephone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller activate Call Trace (*57) when the threatening call was received?  If no,  advise the caller to do so if further calls are received.', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",WP - THREATS.docx
THREATS,WP,call taker,Threats over the Internet.,"['Create a call.', 'Enter in remarks: “Internet Threat”', 'Questions:', 'What is the nature of the threat?', 'How many threats have been received?', 'Is the suspect known?']",WP - THREATS.docx
THREATS,WP,dispatcher,Cellphone threats with no suspect,['Assign a member'],WP - THREATS.docx
THREATS,WP,dispatcher,General Procedure,['Assign a member.'],WP - THREATS.docx
THREATS,WP,dispatcher,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member.']",WP - THREATS.docx
THREATS,WP,dispatcher,Offence within your jurisdiction caller from outside jurisdiction,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member']",WP - THREATS.docx
THREATS,WP,dispatcher,Telephone threats with no suspect,['Assign a member.'],WP - THREATS.docx
THREATS,WP,dispatcher,Threats over the Internet.,['Assign a member'],WP - THREATS.docx
THREATS,WV,call taker,Cellphone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller contact their cell provider on how to proceed with a call trace (each provider is different)', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",WV - THREATS.docx
THREATS,WV,call taker,General Procedure,"['Create a call.', 'Include the full details of the threat.', 'Determine the risk to the complainant. Prioritize accordingly.', 'Questions:', 'What is the victim’s current location?', 'Is this the location where the threats were received?', 'What is the nature of the threat?', 'Is the suspect known?']",WV - THREATS.docx
THREATS,WV,call taker,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Create a call.', 'Ensure the safety of the complainant']",WV - THREATS.docx
THREATS,WV,call taker,Offence within your jurisdiction caller from outside jurisdiction,"['Create a call.', 'Ensure the safety of the complainant']",WV - THREATS.docx
THREATS,WV,call taker,Telephone threats with no suspect,"['Create a call.', 'Questions;', 'What is the nature of the threat?', 'How many calls have been received?', 'Did the caller activate Call Trace (*57) when the threatening call was received?  If no,  advise the caller to do so if further calls are received.', 'Advise the victim to call 911 immediately if the suspect(s) arrive at the caller’s location prior to police attendance.']",WV - THREATS.docx
THREATS,WV,call taker,Threats over the Internet.,"['Create a call.', 'Enter in remarks: “Internet Threat”', 'Questions:', 'What is the nature of the threat?', 'How many threats have been received?', 'Is the suspect known?']",WV - THREATS.docx
THREATS,WV,dispatcher,Cellphone threats with no suspect,['Assign a member'],WV - THREATS.docx
THREATS,WV,dispatcher,General Procedure,['Assign a member.'],WV - THREATS.docx
THREATS,WV,dispatcher,Offence occurred in another jurisdiction and the caller is in your jurisdiction.,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member.']",WV - THREATS.docx
THREATS,WV,dispatcher,Offence within your jurisdiction caller from outside jurisdiction,"['Notify the Field Supervisor/Duty NCO for instruction to ensure the appropriate police response and the safety of the citizen.', 'Assign a member']",WV - THREATS.docx
THREATS,WV,dispatcher,Telephone threats with no suspect,['Assign a member.'],WV - THREATS.docx
THREATS,WV,dispatcher,Threats over the Internet.,['Assign a member'],WV - THREATS.docx
TRAFF,AB,call taker,,"['Create a call', 'Questions', 'License plate?', 'Vehicle description?', 'Driver description?', 'Number of occupants?', 'Time delay?', 'If incident is serious in nature and in progress', 'Upgrade to priority 1 or 2', 'If incident is not serious and has a time delay', 'Leave as a priority 3', 'Advise caller to submit online statement at https://www.abbypd.ca/report-traffic-offence']",AB - TRAFF - Traffic Complaint.docx
TRAFF,AB,call taker,Distracted Drivers – Cell phones and other distractions,"['If drivers actions are putting public safety at risk or currently in progress', 'Create a call', 'If not in progress and not a safety concern', 'Transfer to Report Agent']",AB - TRAFF - Traffic Complaint.docx
TRAFF,AB,dispatcher,Priority 1 or 2 incidents,"['Assign a member', 'Get authorization from Road NCO to broadcast and clear the call in their PIN if no member is available']",AB - TRAFF - Traffic Complaint.docx
TRAFF,AB,dispatcher,Priority 3 incidents,"['Do a general broadcast of the file (BOLF)', 'Cancel the call']",AB - TRAFF - Traffic Complaint.docx
TRAFF,BI,call taker,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road","['If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Confirm that all three above criteria are met', 'Create a call', 'Questions', 'License plate?', 'Specific driving pattern causing hazard?', 'Description of the vehicle?', 'Description of the driver?', 'Number of occupants?', 'Time delay?']",BI - TRAFF - Traffic Complaint.docx
TRAFF,BI,call taker,Substantial time delay (over one hour) and no licence plate,['No call is created'],BI - TRAFF - Traffic Complaint.docx
TRAFF,BI,dispatcher,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road",['Assign a member'],BI - TRAFF - Traffic Complaint.docx
TRAFF,BU,call taker,In progress or time delay less than 15 minutes,"['Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Specific driving pattern causing hazard?', 'Description of the vehicle?', 'Description of the driver?', 'Number of occupants?']",BU - TRAFF - Traffic Complaint.docx
TRAFF,BU,call taker,Ongoing traffic complaints to a specific location and/or report of numerous violators,"['Create a call', 'Remarks: “REOCCURRING TRAFFIC COMPLAINT”', 'Entitize R/O and suspect vehicle', 'Query plate and confirm a match', 'Advise caller they will be contacted by the Burnaby Traffic Community Response Unit for investigation']",BU - TRAFF - Traffic Complaint.docx
TRAFF,BU,call taker,Time delay over 15 minutes excluding ongoing traffic complaints,"['Confirm license plate is correct', 'If license plate is correct', 'Create a call if caller is willing to do the following', 'Attend traffic court', 'Prepare a detailed statement within 10 days that includes the following details', 'File number', 'Location of offence', 'DOT', 'Licence plate', 'Vehicle description', 'Driver description', 'Detailed description of the manner of driving']",BU - TRAFF - Traffic Complaint.docx
TRAFF,BU,dispatcher,In progress or time delay less than 15 minutes,"['Broadcast the information if no member available', 'Assign a member']",BU - TRAFF - Traffic Complaint.docx
TRAFF,BU,dispatcher,Ongoing traffic complaints to a specific location and/or report of numerous violators,['Clear the call in Traffic NCO’s name'],BU - TRAFF - Traffic Complaint.docx
TRAFF,BU,dispatcher,Time delay over 15 minutes excluding ongoing traffic complaints,"['Broadcast the information if no member available', 'Assign a member', 'If no member available and call held for 15 minutes', 'Advise the Watch Commander', 'Clear the call in Watch Commander HRMIS/Name']",BU - TRAFF - Traffic Complaint.docx
TRAFF,DE,call taker,,"['Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Vehicle description?', 'Driver description?', 'Number of occupants?', 'Time delay?']",DE - TRAFF - Traffic Complaint.docx
TRAFF,DE,dispatcher,,"['Assign a member', 'Get authorization from field supervisor to broadcast and clear the call in their PIN if no member is available']",DE - TRAFF - Traffic Complaint.docx
TRAFF,DFPF,call taker,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road","['Confirm that all three above criteria are met', 'Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Specific driving pattern causing hazard?', 'Description of the vehicle?', 'Description of the driver?', 'Number of occupants?', 'Time delay?']",DFPF - TRAFF - Traffic Complaint.docx
TRAFF,DFPF,call taker,Substantial time delay (over one hour) and no licence plate,['No call is created'],DFPF - TRAFF - Traffic Complaint.docx
TRAFF,DFPF,dispatcher,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road",['Assign a member'],DFPF - TRAFF - Traffic Complaint.docx
TRAFF,NW,call taker,,"['Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Vehicle description?', 'Driver description?', 'Number of occupants?', 'Confirm if caller willing to attend provide a written statement and/or traffic court.', 'Provide file number to caller']",NW - TRAFF - Traffic Complaint.docx
TRAFF,NW,call taker,Ongoing traffic complaints or complaints about a specific location,['Create a call'],NW - TRAFF - Traffic Complaint.docx
TRAFF,NW,dispatcher,,"['Assign a traffic member', 'If no traffic member available', 'Assign a patrol member']",NW - TRAFF - Traffic Complaint.docx
TRAFF,NW,dispatcher,Ongoing traffic complaints or complaints about a specific location,"['Assign a traffic member', 'Clear in Sgt Garbutt’s name/PIN (NW4119) if traffic member unavailable']",NW - TRAFF - Traffic Complaint.docx
TRAFF,PO,call taker,,"['Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Vehicle description?', 'Driver description?', 'Number of occupants?', 'Time delay?']",PO - TRAFF - Traffic Complaint.docx
TRAFF,PO,dispatcher,,['Assign a member'],PO - TRAFF - Traffic Complaint.docx
TRAFF,RI,call taker,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road","['Confirm that all three above criteria are met', 'Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Specific driving pattern causing hazard?', 'Description of the vehicle?', 'Description of the driver?', 'Number of occupants?', 'Time delay?']",RI - TRAFF - Traffic Complaint.docx
TRAFF,RI,call taker,Substantial time delay (over one hour) and no licence plate,['No call is created'],RI - TRAFF - Traffic Complaint.docx
TRAFF,RI,dispatcher,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road",['Assign a member'],RI - TRAFF - Traffic Complaint.docx
TRAFF,RM,call taker,,"['If time delay is under 10 minutes', 'Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Vehicle description?', 'Driver description?', 'Number of occupants?', 'Time delay?', 'If time delay is over 10 minutes', 'Create a call', 'If caller wishes further action:', 'Instruct caller to write out a statement and either drop it off or fax it to the Attention of Traffic Services for the appropriate detachment']",RM - TRAFF - Traffic Complaint.docx
TRAFF,RM,dispatcher,,"['If time delay is under 10 minutes', 'Assign a traffic member or member if traffic is unavailable', 'If time delay is over 10 minutes', 'Broadcast the information', 'Conclude the file in the name of the field supervisor in charge of traffic']",RM - TRAFF - Traffic Complaint.docx
TRAFF,SC,call taker,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road","['Confirm that all three above criteria are met', 'Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Specific driving pattern causing hazard?', 'Description of the vehicle?', 'Description of the driver?', 'Number of occupants?', 'Time delay?']",SC - TRAFF - Traffic Complaint.docx
TRAFF,SC,call taker,Substantial time delay (over one hour) and no licence plate,['No call is created'],SC - TRAFF - Traffic Complaint.docx
TRAFF,SC,dispatcher,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road",['Assign a member'],SC - TRAFF - Traffic Complaint.docx
TRAFF,SQ,call taker,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road","['Confirm that all three above criteria are met', 'Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Specific driving pattern causing hazard?', 'Description of the vehicle?', 'Description of the driver?', 'Number of occupants?', 'Time delay?']",SQ - TRAFF - Traffic Complaint.docx
TRAFF,SQ,call taker,Substantial time delay (over one hour) and no licence plate,['No call is created'],SQ - TRAFF - Traffic Complaint.docx
TRAFF,SQ,dispatcher,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road","['Assign a traffic member', 'Sea to Sky Traffic services if call is south of Murrin Lake or north of the Big Orange Bridge', 'Squamish Municipal Traffic if call is north of Murrin Lake or south of the Big Orange Bridge', 'If no traffic member available', 'Assign a member']",SQ - TRAFF - Traffic Complaint.docx
TRAFF,SX,call taker,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road","['Confirm that all three above criteria are met', 'Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Specific driving pattern causing hazard?', 'Description of the vehicle?', 'Description of the driver?', 'Number of occupants?', 'Time delay?']",SX - TRAFF - Traffic Complaint.docx
TRAFF,SX,call taker,Substantial time delay (over one hour) and no licence plate,['No call is created'],SX - TRAFF - Traffic Complaint.docx
TRAFF,SX,dispatcher,"License plate or vehicle description is obtained, specific driving pattern is established and a danger to others on the road",['Assign a member'],SX - TRAFF - Traffic Complaint.docx
TRAFF,UN,call taker,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road","['Confirm that all three above criteria are met', 'Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Specific driving pattern causing hazard?', 'Description of the vehicle?', 'Description of the driver?', 'Number of occupants?', 'Time delay?']",UN - TRAFF - Traffic Complaint.docx
TRAFF,UN,call taker,Substantial time delay (over one hour) and no licence plate,['No call is created'],UN - TRAFF - Traffic Complaint.docx
TRAFF,UN,dispatcher,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road",['Assign a member'],UN - TRAFF - Traffic Complaint.docx
TRAFF,VA,call taker,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road","['Confirm that all three above criteria are met', 'Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'Time delay?', 'License plate?', 'Specific driving pattern causing hazard?', 'Description of the vehicle?', 'Description of the driver?', 'Number of occupants?']",VA - TRAFF - Traffic Complaint.docx
TRAFF,VA,call taker,Substantial time delay (over one hour) and no licence plate,['No call is created'],VA - TRAFF - Traffic Complaint.docx
TRAFF,VA,dispatcher,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road","['Time delay under ten minutes', 'Assign a member', 'Time delay over ten minutes', 'Broadcast the information']",VA - TRAFF - Traffic Complaint.docx
TRAFF,WP,call taker,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road","['Confirm that all three above criteria are met', 'Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Specific driving pattern causing hazard?', 'Description of the vehicle?', 'Description of the driver?', 'Number of occupants?', 'Time delay?']",WP - TRAFF - Traffic Complaint.docx
TRAFF,WP,call taker,Substantial time delay (over one hour) and no licence plate,['No call is created'],WP - TRAFF - Traffic Complaint.docx
TRAFF,WP,dispatcher,"License plate or detailed vehicle description is obtained, specific driving pattern is established and there is a danger to others on the road",['Assign a member'],WP - TRAFF - Traffic Complaint.docx
TRAFF,WV,call taker,,"['Create a call', 'If caller is following', 'Advise the caller to stay safe and not put themselves in any danger', 'Questions', 'License plate?', 'Vehicle description?', 'Driver description?', 'Number of occupants?', 'Time delay?']",WV - TRAFF - Traffic Complaint.docx
TRAFF,WV,dispatcher,,"['Assign a traffic member', 'If no traffic member available', 'Assign a member', 'Get authorization from field supervisor to broadcast and clear the call in their PIN if no member is available']",WV - TRAFF - Traffic Complaint.docx
TRAFFS,AB,call taker,,['event type is not used'],AB - TRAFFS - Traffic Stop.docx
